id_apolice,id_veiculo,cpf_segurado,data_inicio_vigencia,cobertura
2113,1113,CPF_0,2026-01-29,Terceiros
2114,1114,CPF_187,2025-06-25,Terceiros
2115,1115,CPF_368,2025-05-06,Roubo/Furto
2116,1116,CPF_334,2026-01-09,Roubo/Furto
2117,1117,CPF_132,2025-06-05,Roubo/Furto
2118,1118,CPF_863,2026-03-29,Terceiros
2119,1119,CPF_274,2025-04-26,Terceiros
2120,1120,CPF_835,2025-04-13,Total
2121,1121,CPF_447,2026-02-13,Total
2122,1122,CPF_749,2025-12-01,Roubo/Furto
2123,1123,CPF_248,2025-07-12,Roubo/Furto
2124,1124,CPF_354,2025-11-28,Total
2125,1125,CPF_795,2026-04-02,Roubo/Furto
2126,1126,CPF_36,2025-04-12,Roubo/Furto
2127,1127,CPF_776,2025-08-27,Total
2128,1128,CPF_666,2025-08-23,Total
2129,1129,CPF_627,2025-12-07,Total
2130,1130,CPF_3,2025-09-30,Total
2131,1131,CPF_27,2025-10-17,Terceiros
2132,1132,CPF_992,2025-04-10,Total
2133,1133,CPF_972,2025-12-30,Roubo/Furto
2134,1134,CPF_964,2025-10-16,Terceiros
2135,1135,CPF_661,2025-07-11,Roubo/Furto
2136,1136,CPF_369,2025-07-30,Terceiros
2137,1137,CPF_273,2025-07-04,Roubo/Furto
2138,1138,CPF_215,2025-10-22,Total
2139,1139,CPF_268,2025-09-27,Total
2140,1140,CPF_447,2025-05-17,Terceiros
2141,1141,CPF_498,2025-12-09,Terceiros
2142,1142,CPF_195,2026-03-14,Total
2143,1143,CPF_874,2025-09-01,Roubo/Furto
2144,1144,CPF_258,2025-11-18,Roubo/Furto
2145,1145,CPF_202,2026-03-06,Roubo/Furto
2146,1146,CPF_557,2026-02-24,Terceiros
2147,1147,CPF_974,2025-08-23,Terceiros
2148,1148,CPF_147,2026-02-08,Total
2149,1149,CPF_778,2026-03-07,Terceiros
2150,1150,CPF_104,2025-12-19,Roubo/Furto
2151,1151,CPF_114,2025-09-10,Terceiros
2152,1152,CPF_100,2025-04-19,Terceiros
2153,1153,CPF_520,2025-04-15,Total
2154,1154,CPF_886,2026-01-14,Terceiros
2155,1155,CPF_289,2025-11-21,Roubo/Furto
2156,1156,CPF_66,2025-09-13,Roubo/Furto
2157,1157,CPF_135,2026-02-03,Roubo/Furto
2158,1158,CPF_332,2025-11-02,Roubo/Furto
2159,1159,CPF_933,2025-07-30,Roubo/Furto
2160,1160,CPF_112,2026-02-01,Total
2161,1161,CPF_973,2025-09-16,Total
2162,1162,CPF_739,2025-10-23,Roubo/Furto
2163,1163,CPF_162,2025-06-07,Terceiros
2164,1164,CPF_289,2025-10-16,Terceiros
2165,1165,CPF_132,2026-01-25,Terceiros
2166,1166,CPF_973,2026-01-16,Terceiros
2167,1167,CPF_72,2026-01-30,Terceiros
2168,1168,CPF_787,2026-02-22,Terceiros
2169,1169,CPF_960,2026-02-08,Roubo/Furto
2170,1170,CPF_403,2025-08-15,Terceiros
2171,1171,CPF_156,2026-01-07,Roubo/Furto
2172,1172,CPF_752,2025-04-25,Total
2173,1173,CPF_760,2026-01-06,Terceiros
2174,1174,CPF_877,2026-03-19,Total
2175,1175,CPF_480,2025-08-29,Terceiros
2176,1176,CPF_254,2025-09-23,Roubo/Furto
2177,1177,CPF_172,2026-02-08,Terceiros
2178,1178,CPF_350,2025-04-15,Roubo/Furto
2179,1179,CPF_782,2025-04-11,Terceiros
2180,1180,CPF_240,2025-11-28,Total
2181,1181,CPF_333,2025-05-11,Roubo/Furto
2182,1182,CPF_782,2025-12-19,Roubo/Furto
2183,1183,CPF_839,2025-04-20,Roubo/Furto
2184,1184,CPF_519,2026-03-29,Terceiros
2185,1185,CPF_605,2025-06-06,Total
2186,1186,CPF_686,2025-10-02,Terceiros
2187,1187,CPF_847,2025-12-10,Roubo/Furto
2188,1188,CPF_328,2025-09-26,Roubo/Furto
2189,1189,CPF_952,2026-01-25,Total
2190,1190,CPF_738,2025-08-22,Roubo/Furto
2191,1191,CPF_192,2026-02-25,Roubo/Furto
2192,1192,CPF_925,2026-01-12,Total
2193,1193,CPF_804,2025-07-21,Roubo/Furto
2194,1194,CPF_612,2025-09-27,Roubo/Furto
2195,1195,CPF_62,2026-03-26,Roubo/Furto
2196,1196,CPF_496,2026-02-07,Roubo/Furto
2197,1197,CPF_319,2025-09-14,Total
2198,1198,CPF_339,2025-12-21,Total
2199,1199,CPF_984,2025-12-21,Roubo/Furto
2200,1200,CPF_258,2025-06-08,Roubo/Furto
2201,1201,CPF_545,2026-03-25,Terceiros
2202,1202,CPF_838,2025-12-21,Total
2203,1203,CPF_985,2026-03-29,Roubo/Furto
2204,1204,CPF_2,2025-09-04,Total
2205,1205,CPF_531,2025-09-06,Terceiros
2206,1206,CPF_207,2025-06-05,Total
2207,1207,CPF_904,2025-10-29,Roubo/Furto
2208,1208,CPF_584,2025-06-08,Total
2209,1209,CPF_735,2025-08-27,Terceiros
2210,1210,CPF_678,2025-06-14,Total
2211,1211,CPF_36,2025-10-29,Total
2212,1212,CPF_77,2026-03-17,Roubo/Furto
2213,1213,CPF_112,2025-11-27,Total
2214,1214,CPF_578,2025-07-18,Terceiros
2215,1215,CPF_765,2026-01-18,Terceiros
2216,1216,CPF_351,2025-04-26,Terceiros
2217,1217,CPF_664,2025-12-25,Roubo/Furto
2218,1218,CPF_319,2026-02-28,Terceiros
2219,1219,CPF_4,2025-08-29,Total
2220,1220,CPF_418,2025-12-05,Terceiros
2221,1221,CPF_983,2025-09-19,Roubo/Furto
2222,1222,CPF_337,2025-05-26,Terceiros
2223,1223,CPF_340,2025-05-21,Total
2224,1224,CPF_596,2025-07-07,Terceiros
2225,1225,CPF_272,2025-11-30,Total
2226,1226,CPF_491,2025-10-12,Roubo/Furto
2227,1227,CPF_393,2025-05-19,Total
2228,1228,CPF_578,2026-03-25,Total
2229,1229,CPF_130,2025-09-10,Terceiros
2230,1230,CPF_52,2025-10-28,Roubo/Furto
2231,1231,CPF_694,2025-07-06,Terceiros
2232,1232,CPF_734,2026-02-03,Terceiros
2233,1233,CPF_67,2026-03-21,Terceiros
2234,1234,CPF_920,2025-08-05,Total
2235,1235,CPF_569,2025-06-30,Total
2236,1236,CPF_170,2025-08-04,Terceiros
2237,1237,CPF_569,2026-01-21,Terceiros
2238,1238,CPF_885,2025-09-26,Terceiros
2239,1239,CPF_146,2026-02-19,Terceiros
2240,1240,CPF_322,2025-06-12,Terceiros
2241,1241,CPF_850,2026-01-08,Terceiros
2242,1242,CPF_542,2026-01-18,Total
2243,1243,CPF_373,2025-08-13,Roubo/Furto
2244,1244,CPF_194,2025-12-27,Terceiros
2245,1245,CPF_740,2025-11-28,Terceiros
2246,1246,CPF_263,2026-01-06,Roubo/Furto
2247,1247,CPF_350,2026-03-11,Total
2248,1248,CPF_801,2025-05-17,Total
2249,1249,CPF_575,2026-01-06,Terceiros
2250,1250,CPF_936,2025-11-25,Roubo/Furto
2251,1251,CPF_71,2025-04-19,Total
2252,1252,CPF_959,2025-11-13,Roubo/Furto
2253,1253,CPF_410,2025-12-26,Terceiros
2254,1254,CPF_276,2025-09-10,Total
2255,1255,CPF_348,2025-10-20,Terceiros
2256,1256,CPF_39,2026-01-12,Terceiros
2257,1257,CPF_778,2026-01-15,Total
2258,1258,CPF_741,2025-10-11,Roubo/Furto
2259,1259,CPF_703,2025-09-06,Total
2260,1260,CPF_888,2025-12-31,Roubo/Furto
2261,1261,CPF_843,2025-11-29,Total
2262,1262,CPF_991,2025-07-13,Total
2263,1263,CPF_761,2026-02-03,Total
2264,1264,CPF_51,2025-04-22,Total
2265,1265,CPF_420,2026-03-10,Total
2266,1266,CPF_600,2026-01-11,Total
2267,1267,CPF_876,2026-03-08,Total
2268,1268,CPF_594,2025-12-05,Roubo/Furto
2269,1269,CPF_816,2025-06-22,Roubo/Furto
2270,1270,CPF_926,2025-10-19,Total
2271,1271,CPF_440,2025-08-16,Roubo/Furto
2272,1272,CPF_420,2025-06-03,Total
2273,1273,CPF_64,2025-06-30,Total
2274,1274,CPF_122,2025-06-28,Roubo/Furto
2275,1275,CPF_950,2025-10-07,Terceiros
2276,1276,CPF_475,2026-03-16,Terceiros
2277,1277,CPF_228,2026-03-06,Terceiros
2278,1278,CPF_927,2026-03-30,Roubo/Furto
2279,1279,CPF_593,2025-08-12,Terceiros
2280,1280,CPF_54,2025-12-30,Total
2281,1281,CPF_76,2025-06-14,Roubo/Furto
2282,1282,CPF_646,2026-02-12,Total
2283,1283,CPF_293,2025-05-20,Total
2284,1284,CPF_654,2026-01-12,Total
2285,1285,CPF_286,2025-09-05,Roubo/Furto
2286,1286,CPF_380,2025-08-10,Terceiros
2287,1287,CPF_483,2025-12-18,Total
2288,1288,CPF_530,2025-06-16,Total
2289,1289,CPF_993,2025-07-24,Roubo/Furto
2290,1290,CPF_429,2026-03-15,Terceiros
2291,1291,CPF_372,2025-07-28,Terceiros
2292,1292,CPF_297,2025-09-01,Roubo/Furto
2293,1293,CPF_586,2025-06-23,Roubo/Furto
2294,1294,CPF_660,2025-12-28,Total
2295,1295,CPF_811,2026-02-07,Roubo/Furto
2296,1296,CPF_498,2026-01-19,Roubo/Furto
2297,1297,CPF_378,2025-05-05,Total
2298,1298,CPF_392,2025-05-29,Roubo/Furto
2299,1299,CPF_414,2025-05-02,Roubo/Furto
2300,1300,CPF_16,2025-08-10,Terceiros
2301,1301,CPF_750,2025-06-13,Roubo/Furto
2302,1302,CPF_902,2025-07-31,Terceiros
2303,1303,CPF_701,2025-11-14,Total
2304,1304,CPF_105,2025-06-08,Roubo/Furto
2305,1305,CPF_983,2025-12-12,Terceiros
2306,1306,CPF_888,2025-12-06,Roubo/Furto
2307,1307,CPF_19,2025-08-08,Total
2308,1308,CPF_401,2025-05-26,Roubo/Furto
2309,1309,CPF_919,2025-09-25,Roubo/Furto
2310,1310,CPF_871,2025-11-05,Terceiros
2311,1311,CPF_759,2025-08-03,Total
2312,1312,CPF_592,2025-04-28,Total
2313,1313,CPF_111,2025-12-25,Terceiros
2314,1314,CPF_497,2026-01-03,Total
2315,1315,CPF_392,2025-11-13,Roubo/Furto
2316,1316,CPF_549,2025-10-11,Terceiros
2317,1317,CPF_189,2025-06-22,Total
2318,1318,CPF_543,2025-12-19,Total
2319,1319,CPF_516,2025-08-20,Total
2320,1320,CPF_519,2025-07-08,Roubo/Furto
2321,1321,CPF_446,2026-02-22,Roubo/Furto
2322,1322,CPF_365,2025-04-12,Terceiros
2323,1323,CPF_550,2026-01-08,Total
2324,1324,CPF_822,2025-06-01,Total
2325,1325,CPF_765,2025-04-11,Terceiros
2326,1326,CPF_605,2025-07-26,Terceiros
2327,1327,CPF_938,2026-03-16,Total
2328,1328,CPF_575,2026-02-05,Terceiros
2329,1329,CPF_661,2025-11-02,Terceiros
2330,1330,CPF_283,2025-12-10,Roubo/Furto
2331,1331,CPF_706,2026-03-04,Roubo/Furto
2332,1332,CPF_174,2025-04-15,Terceiros
2333,1333,CPF_954,2025-08-01,Roubo/Furto
2334,1334,CPF_914,2025-12-25,Total
2335,1335,CPF_139,2025-10-10,Roubo/Furto
2336,1336,CPF_931,2025-06-08,Roubo/Furto
2337,1337,CPF_71,2025-11-01,Total
2338,1338,CPF_898,2025-10-09,Terceiros
2339,1339,CPF_708,2025-08-08,Roubo/Furto
2340,1340,CPF_341,2025-08-19,Terceiros
2341,1341,CPF_700,2025-06-28,Terceiros
2342,1342,CPF_879,2025-10-12,Total
2343,1343,CPF_948,2025-05-27,Roubo/Furto
2344,1344,CPF_955,2025-10-13,Total
2345,1345,CPF_60,2026-02-02,Total
2346,1346,CPF_266,2025-06-07,Roubo/Furto
2347,1347,CPF_525,2026-01-26,Terceiros
2348,1348,CPF_937,2025-07-05,Roubo/Furto
2349,1349,CPF_53,2025-05-06,Roubo/Furto
2350,1350,CPF_654,2025-09-09,Terceiros
2351,1351,CPF_187,2025-12-29,Total
2352,1352,CPF_99,2025-05-20,Total
2353,1353,CPF_977,2025-05-04,Roubo/Furto
2354,1354,CPF_213,2025-12-07,Total
2355,1355,CPF_382,2025-09-10,Terceiros
2356,1356,CPF_512,2026-02-11,Roubo/Furto
2357,1357,CPF_488,2025-04-21,Terceiros
2358,1358,CPF_537,2025-08-18,Roubo/Furto
2359,1359,CPF_747,2025-08-30,Roubo/Furto
2360,1360,CPF_627,2026-01-09,Roubo/Furto
2361,1361,CPF_345,2025-10-11,Roubo/Furto
2362,1362,CPF_248,2026-03-10,Total
2363,1363,CPF_578,2026-02-09,Total
2364,1364,CPF_432,2025-09-15,Terceiros
2365,1365,CPF_947,2025-05-08,Terceiros
2366,1366,CPF_310,2026-02-21,Total
2367,1367,CPF_209,2026-03-14,Terceiros
2368,1368,CPF_481,2025-06-12,Terceiros
2369,1369,CPF_604,2025-08-22,Roubo/Furto
2370,1370,CPF_139,2025-04-13,Total
2371,1371,CPF_446,2025-09-06,Total
2372,1372,CPF_506,2026-01-08,Terceiros
2373,1373,CPF_534,2025-08-25,Roubo/Furto
2374,1374,CPF_271,2025-06-28,Roubo/Furto
2375,1375,CPF_402,2026-04-04,Total
2376,1376,CPF_524,2026-03-24,Terceiros
2377,1377,CPF_844,2025-12-24,Roubo/Furto
2378,1378,CPF_176,2025-08-01,Roubo/Furto
2379,1379,CPF_138,2025-07-10,Terceiros
2380,1380,CPF_514,2025-09-16,Roubo/Furto
2381,1381,CPF_937,2025-10-22,Terceiros
2382,1382,CPF_911,2025-12-09,Terceiros
2383,1383,CPF_159,2026-02-25,Total
2384,1384,CPF_703,2025-05-10,Terceiros
2385,1385,CPF_242,2026-02-15,Terceiros
2386,1386,CPF_926,2025-09-24,Terceiros
2387,1387,CPF_375,2025-04-20,Total
2388,1388,CPF_976,2025-09-28,Roubo/Furto
2389,1389,CPF_924,2026-03-27,Total
2390,1390,CPF_925,2025-07-18,Total
2391,1391,CPF_867,2025-05-30,Terceiros
2392,1392,CPF_790,2026-02-04,Roubo/Furto
2393,1393,CPF_222,2025-11-07,Total
2394,1394,CPF_275,2025-05-11,Roubo/Furto
2395,1395,CPF_275,2026-02-18,Total
2396,1396,CPF_704,2025-08-30,Roubo/Furto
2397,1397,CPF_271,2025-08-29,Roubo/Furto
2398,1398,CPF_536,2025-08-03,Total
2399,1399,CPF_863,2025-06-09,Terceiros
2400,1400,CPF_548,2026-02-05,Total
2401,1401,CPF_180,2025-08-06,Total
2402,1402,CPF_238,2025-07-07,Total
2403,1403,CPF_289,2026-01-17,Total
2404,1404,CPF_328,2026-02-22,Terceiros
2405,1405,CPF_927,2025-07-12,Total
2406,1406,CPF_909,2025-11-29,Total
2407,1407,CPF_361,2026-02-01,Roubo/Furto
2408,1408,CPF_883,2025-09-10,Roubo/Furto
2409,1409,CPF_643,2025-06-07,Roubo/Furto
2410,1410,CPF_61,2025-09-06,Terceiros
2411,1411,CPF_275,2025-10-10,Total
2412,1412,CPF_657,2025-11-02,Roubo/Furto
2413,1413,CPF_610,2025-07-02,Terceiros
2414,1414,CPF_532,2025-08-30,Total
2415,1415,CPF_748,2025-10-01,Terceiros
2416,1416,CPF_45,2025-09-21,Terceiros
2417,1417,CPF_625,2026-01-15,Terceiros
2418,1418,CPF_121,2025-08-23,Total
2419,1419,CPF_610,2025-11-07,Terceiros
2420,1420,CPF_755,2025-08-27,Terceiros
2421,1421,CPF_981,2025-09-19,Terceiros
2422,1422,CPF_49,2025-07-09,Roubo/Furto
2423,1423,CPF_543,2026-01-25,Terceiros
2424,1424,CPF_643,2025-11-26,Roubo/Furto
2425,1425,CPF_676,2025-10-31,Terceiros
2426,1426,CPF_153,2026-01-05,Terceiros
2427,1427,CPF_254,2025-08-08,Roubo/Furto
2428,1428,CPF_463,2025-10-06,Roubo/Furto
2429,1429,CPF_34,2025-10-26,Terceiros
2430,1430,CPF_143,2025-10-02,Total
2431,1431,CPF_617,2026-03-29,Roubo/Furto
2432,1432,CPF_656,2025-12-16,Total
2433,1433,CPF_615,2026-01-07,Roubo/Furto
2434,1434,CPF_648,2025-11-14,Roubo/Furto
2435,1435,CPF_718,2026-02-27,Terceiros
2436,1436,CPF_436,2025-07-13,Terceiros
2437,1437,CPF_447,2026-01-23,Terceiros
2438,1438,CPF_667,2025-06-27,Roubo/Furto
2439,1439,CPF_469,2025-09-13,Terceiros
2440,1440,CPF_925,2026-01-20,Terceiros
2441,1441,CPF_201,2026-03-26,Total
2442,1442,CPF_242,2025-05-27,Terceiros
2443,1443,CPF_107,2026-02-21,Total
2444,1444,CPF_377,2025-10-03,Terceiros
2445,1445,CPF_382,2025-04-28,Terceiros
2446,1446,CPF_891,2025-12-02,Total
2447,1447,CPF_185,2025-07-17,Roubo/Furto
2448,1448,CPF_147,2025-09-13,Terceiros
2449,1449,CPF_961,2025-04-20,Roubo/Furto
2450,1450,CPF_389,2025-10-25,Terceiros
2451,1451,CPF_183,2025-05-04,Roubo/Furto
2452,1452,CPF_310,2026-01-08,Roubo/Furto
2453,1453,CPF_739,2025-09-10,Roubo/Furto
2454,1454,CPF_424,2025-12-26,Roubo/Furto
2455,1455,CPF_130,2026-03-25,Roubo/Furto
2456,1456,CPF_102,2025-07-23,Roubo/Furto
2457,1457,CPF_483,2025-08-07,Roubo/Furto
2458,1458,CPF_605,2026-03-21,Total
2459,1459,CPF_604,2025-04-17,Total
2460,1460,CPF_315,2025-09-27,Terceiros
2461,1461,CPF_810,2025-12-26,Terceiros
2462,1462,CPF_34,2025-10-02,Total
2463,1463,CPF_998,2026-01-13,Roubo/Furto
2464,1464,CPF_318,2025-11-18,Total
2465,1465,CPF_583,2025-12-10,Roubo/Furto
2466,1466,CPF_801,2025-09-27,Roubo/Furto
2467,1467,CPF_708,2025-08-14,Total
2468,1468,CPF_417,2025-07-16,Terceiros
2469,1469,CPF_693,2025-06-01,Terceiros
2470,1470,CPF_200,2025-07-13,Roubo/Furto
2471,1471,CPF_464,2025-05-20,Terceiros
2472,1472,CPF_576,2025-06-07,Terceiros
2473,1473,CPF_36,2026-01-15,Roubo/Furto
2474,1474,CPF_740,2026-02-16,Total
2475,1475,CPF_828,2025-11-04,Total
2476,1476,CPF_603,2026-02-10,Roubo/Furto
2477,1477,CPF_495,2025-12-20,Roubo/Furto
2478,1478,CPF_410,2025-11-03,Roubo/Furto
2479,1479,CPF_88,2025-10-26,Total
2480,1480,CPF_86,2025-11-27,Total
2481,1481,CPF_709,2025-07-08,Terceiros
2482,1482,CPF_855,2026-03-06,Terceiros
2483,1483,CPF_650,2025-07-02,Terceiros
2484,1484,CPF_570,2026-01-10,Roubo/Furto
2485,1485,CPF_34,2025-06-22,Terceiros
2486,1486,CPF_16,2025-09-20,Roubo/Furto
2487,1487,CPF_377,2025-11-27,Roubo/Furto
2488,1488,CPF_13,2025-05-14,Roubo/Furto
2489,1489,CPF_149,2026-03-21,Total
2490,1490,CPF_665,2026-02-14,Roubo/Furto
2491,1491,CPF_99,2025-11-28,Roubo/Furto
2492,1492,CPF_245,2025-06-19,Total
2493,1493,CPF_859,2025-12-25,Roubo/Furto
2494,1494,CPF_97,2025-10-21,Total
2495,1495,CPF_830,2026-01-22,Terceiros
2496,1496,CPF_561,2025-10-01,Total
2497,1497,CPF_104,2025-08-22,Terceiros
2498,1498,CPF_360,2025-05-08,Total
2499,1499,CPF_887,2025-08-15,Terceiros
2500,1500,CPF_306,2025-05-07,Total
2501,1501,CPF_609,2026-01-20,Roubo/Furto
2502,1502,CPF_685,2026-02-21,Terceiros
2503,1503,CPF_841,2025-11-26,Roubo/Furto
2504,1504,CPF_332,2026-02-27,Total
2505,1505,CPF_635,2025-12-17,Total
2506,1506,CPF_354,2025-12-29,Roubo/Furto
2507,1507,CPF_699,2025-05-13,Total
2508,1508,CPF_276,2025-05-21,Total
2509,1509,CPF_916,2025-04-08,Terceiros
2510,1510,CPF_431,2025-08-13,Total
2511,1511,CPF_236,2025-06-04,Roubo/Furto
2512,1512,CPF_2,2025-07-30,Terceiros
2513,1513,CPF_420,2026-04-02,Roubo/Furto
2514,1514,CPF_6,2026-02-05,Terceiros
2515,1515,CPF_628,2025-05-22,Total
2516,1516,CPF_318,2026-03-24,Total
2517,1517,CPF_521,2025-05-21,Terceiros
2518,1518,CPF_119,2026-01-12,Terceiros
2519,1519,CPF_601,2025-04-29,Terceiros
2520,1520,CPF_665,2025-05-18,Terceiros
2521,1521,CPF_756,2025-08-25,Terceiros
2522,1522,CPF_357,2025-04-19,Total
2523,1523,CPF_638,2025-05-09,Terceiros
2524,1524,CPF_828,2025-08-29,Roubo/Furto
2525,1525,CPF_255,2026-01-09,Total
2526,1526,CPF_904,2026-01-27,Terceiros
2527,1527,CPF_407,2025-04-13,Roubo/Furto
2528,1528,CPF_298,2025-06-09,Total
2529,1529,CPF_325,2026-03-28,Roubo/Furto
2530,1530,CPF_270,2025-07-15,Total
2531,1531,CPF_937,2025-04-22,Terceiros
2532,1532,CPF_69,2026-02-08,Terceiros
2533,1533,CPF_826,2026-01-15,Total
2534,1534,CPF_27,2026-01-13,Total
2535,1535,CPF_104,2025-05-19,Terceiros
2536,1536,CPF_370,2026-02-11,Roubo/Furto
2537,1537,CPF_7,2025-08-16,Roubo/Furto
2538,1538,CPF_640,2025-05-07,Roubo/Furto
2539,1539,CPF_190,2025-08-09,Roubo/Furto
2540,1540,CPF_822,2025-04-19,Roubo/Furto
2541,1541,CPF_179,2025-04-12,Roubo/Furto
2542,1542,CPF_82,2025-06-05,Terceiros
2543,1543,CPF_73,2026-01-06,Roubo/Furto
2544,1544,CPF_548,2025-11-17,Roubo/Furto
2545,1545,CPF_710,2025-08-15,Roubo/Furto
2546,1546,CPF_159,2025-08-31,Terceiros
2547,1547,CPF_164,2025-06-18,Total
2548,1548,CPF_187,2025-12-30,Terceiros
2549,1549,CPF_870,2025-04-25,Roubo/Furto
2550,1550,CPF_522,2025-04-28,Terceiros
2551,1551,CPF_375,2025-12-05,Terceiros
2552,1552,CPF_619,2025-10-23,Terceiros
